사바,99,143
가마,67,188
사차,56,164
차파,71,187
나나,52,164
바가,58,151
자나,43,192
타다,57,199
파차,97,194
아마,72,169
파사,65,184
자바,72,165
차하,54,186
라카,42,160
아자,77,174
하가,95,194
라다,95,144
다마,60,154
바자,70,195
라아,68,186
사차,55,185
다타,68,192
나사,81,180
아카,75,140
마라,65,159
자사,52,183
타라,50,140
카다,55,150
아나,44,155
파카,74,177
하차,82,154
나하,64,164
다사,72,176
바다,47,192
차라,94,183
카바,66,143
라사,97,179
마마,87,181
가파,40,161
아사,66,161
나바,91,195
하하,59,184
카차,66,144
가마,62,195
하가,47,185
가라,60,181
가자,53,169
마사,54,179
파사,42,171
나파,56,164
